time,lat,lon,spei,doy
2000-01-16,50.25,7.25,-0.85094166,16
2000-01-16,50.25,7.75,-0.6343951,16
2000-01-16,50.25,8.25,-0.6677228,16
2000-01-16,50.25,8.75,-0.4329699,16
2000-01-16,50.25,9.25,-0.39641646,16
2000-01-16,50.25,9.75,-0.27855107,16
2000-01-16,50.25,10.25,-0.18884385,16
2000-01-16,50.25,10.75,0.33260837,16
2000-01-16,50.25,11.25,0.3565601,16
2000-01-16,50.25,11.75,0.42153475,16
2000-01-16,50.25,12.25,0.22651862,16
2000-01-16,50.25,12.75,0.19039793,16
2000-01-16,50.25,13.25,0.19966406,16
2000-01-16,50.25,13.75,0.69292605,16
2000-01-16,50.25,14.25,0.5822688,16
2000-01-16,50.25,14.75,0.5581868,16
2000-01-16,50.75,5.75,-0.93855584,16
2000-01-16,50.75,6.25,-0.83326006,16
2000-01-16,50.75,6.75,-0.75527006,16
2000-01-16,50.75,7.25,-0.82927024,16
2000-01-16,50.75,7.75,-0.542528,16
2000-01-16,50.75,8.25,-0.48572683,16
2000-01-16,50.75,8.75,-0.4520466,16
2000-01-16,50.75,9.25,-0.52352214,16
2000-01-16,50.75,9.75,-0.36294663,16
2000-01-16,50.75,10.25,0.09780675,16
2000-01-16,50.75,10.75,0.22024335,16
2000-01-16,50.75,11.25,0.34372288,16
2000-01-16,50.75,11.75,0.4067758,16
2000-01-16,50.75,12.25,0.36380166,16
2000-01-16,50.75,12.75,0.43012106,16
2000-01-16,50.75,13.25,0.45103532,16
2000-01-16,50.75,13.75,0.6696773,16
2000-01-16,50.75,14.25,0.543273,16
2000-01-16,50.75,14.75,0.60252166,16
2000-01-16,51.25,5.75,-0.9416701,16
2000-01-16,51.25,6.25,-0.95463556,16
2000-01-16,51.25,6.75,-0.9622084,16
2000-01-16,51.25,7.25,-0.8138982,16
2000-01-16,51.25,7.75,-0.8424891,16
2000-01-16,51.25,8.25,-0.46845657,16
2000-01-16,51.25,8.75,-0.15727255,16
2000-01-16,51.25,9.25,-0.11095664,16
2000-01-16,51.25,9.75,-0.09975851,16
2000-01-16,51.25,10.25,0.12607342,16
2000-01-16,51.25,10.75,0.18836121,16
2000-01-16,51.25,11.25,0.55573344,16
